date,CSI300_Close,CSI1000_Close,LCVI_Close,SCGI_Close,WASI_Close,CSI300_PB,CSI1000_PB,LCVI_PB,SCGI_PB,WASI_PB
2013/5/2,2449.639,3667.159,3819.935,3234.783,2198.8268,1.427,,1.1918,2.6399,1.6186
2013/5/3,2492.912,3746.931,3884.031,3305.355,2240.5778,1.4478,,1.2064,2.6975,1.6446
2013/5/6,2525.983,3817.576,3918.012,3364.443,2275.4832,1.4634,,1.2145,2.7477,1.666
2013/5/7,2529.938,3829.515,3916.577,3381.374,2279.7942,1.4647,,1.2134,2.7615,1.6684
2013/5/8,2542.798,3877.752,3938.034,3437.254,2290.8594,1.4729,,1.2206,2.8141,1.6793
2013/5/9,2527.794,3892.921,3901.458,3436.373,2281.0241,1.4644,,1.2122,2.8013,1.6737
2013/5/10,2540.836,3912.064,3929.378,3451.213,2294.4495,1.4707,,1.2173,2.8133,1.6824
2013/5/13,2530.768,3936.805,3912.707,3458.182,2294.2275,1.4645,,1.2116,2.8162,1.6806
2013/5/14,2493.338,3889.645,3867.277,3402.616,2263.9884,1.4458,,1.1991,2.7694,1.6604
2013/5/15,2506.925,3953.85,3878,3459.682,2284.9903,1.4503,,1.1998,2.8152,1.6714
2013/5/16,2552.709,3977.955,3950.783,3488.648,2317.6873,1.4702,,1.2137,2.841,1.691
2013/5/17,2592.048,4031.555,4000.86,3548.631,2352.7488,1.4924,,1.2301,2.8858,1.7161
2013/5/20,2609.607,4105.231,4034.941,3598.985,2378.3958,1.502,,1.2382,2.9243,1.7332
2013/5/21,2614.853,4168.573,4020.365,3640.811,2395.2187,1.5028,,1.2353,2.9641,1.7414
2013/5/22,2618.034,4111.252,4030.228,3611.616,2386.3744,1.5027,,1.2339,2.9467,1.7357
2013/5/23,2582.849,4089.159,3958.471,3573.435,2361.4956,1.4847,,1.2185,2.9071,1.7178
2013/5/24,2597.228,4160.953,3965.315,3637.547,2386.6296,1.4902,,1.2194,2.9607,1.7312
2013/5/27,2599.587,4210.934,3956.383,3675.44,2400.0077,1.4905,,1.2172,2.9894,1.7376
2013/5/28,2644.359,4179.855,4047.571,3684.04,2421.7043,1.5124,,1.2358,3.0009,1.7531
2013/5/29,2642.561,4213.764,4033.211,3707.643,2428.7227,1.5123,,1.2336,3.0199,1.7573
2013/5/30,2634.323,4231.042,4019.392,3704.195,2427.308,1.5065,,1.2288,3.0145,1.7543
2013/5/31,2606.426,4210.967,3985.531,3679.153,2407.307,1.4941,,1.2221,2.9885,1.7418
2013/6/3,2602.623,4172.688,3990.28,3658.03,2398.943,1.4959,,1.2247,2.9646,1.7387
2013/6/4,2565.666,4080.089,3954.407,3564.652,2358.1384,1.4807,,1.2179,2.8849,1.7155
2013/6/5,2560.539,4104.911,3926.904,3572.023,2361.7332,1.4799,,1.215,2.8875,1.718
2013/6/6,2527.845,4036.815,3873.829,3523.271,2327.9651,1.4667,,1.2047,2.8595,1.6994
2013/6/7,2484.16,3985.51,3823.824,3479.441,2289.7591,1.4485,,1.1936,2.8312,1.6772
2013/6/13,2399.937,3887.745,3708.075,3397.076,2219.7791,1.4095,,1.1658,2.7598,1.6324
2013/6/14,2416.771,3975.523,3715.901,3471.878,2250.7129,1.4171,,1.1681,2.8204,1.6498
2013/6/17,2403.839,3996.336,3688.903,3492.701,2249.4281,1.4105,,1.1619,2.8353,1.6476
2013/6/18,2418.745,4005.139,3704.532,3512.544,2260.9749,1.4187,,1.1654,2.8616,1.6559
2013/6/19,2400.765,3987.299,3655.754,3487.132,2247.3104,1.4102,,1.1553,2.842,1.6469
2013/6/20,2321.466,3860.886,3532.201,3376.689,2172.8514,1.3706,,1.1256,2.7532,1.5988
2013/6/21,2317.394,3833.822,3530.15,3371.069,2166.0321,1.3645,,1.1161,2.7613,1.5925
2013/6/24,2171.21,3604.749,3295.513,3175.096,2027.8147,1.2934,,1.0639,2.6089,1.5063
2013/6/25,2165.421,3602.569,3291.5,3178.021,2021.8294,1.2928,,1.0646,2.6232,1.5046
2013/6/26,2168.297,3697.963,3263.689,3250.291,2046.8099,1.2938,,1.0584,2.6866,1.5185
2013/6/27,2160.735,3625.677,3291.182,3198.128,2026.719,1.2974,,1.0695,2.6491,1.5126
2013/6/28,2200.639,3602.107,3401.918,3198.832,2046.2654,1.3273,,1.1012,2.6569,1.5349
2013/7/1,2213.317,3693.602,3395.036,3290.247,2077.3679,1.3588,,1.1161,3.0457,1.5558
2013/7/2,2221.984,3769.933,3376.902,3356.914,2099.1766,1.3652,,1.1174,3.1085,1.5699
2013/7/3,2203.828,3780.596,3342.845,3383.588,2092.2695,1.3567,,1.1105,3.1343,1.5644
2013/7/4,2221.979,3795.61,3376.086,3386.843,2108.1971,1.3637,,1.1156,3.1354,1.5741
2013/7/5,2226.849,3756.334,3395.982,3356.337,2104.1384,1.3687,,1.1218,3.1124,1.574
2013/7/8,2163.619,3620.65,3332.259,3235.154,2035.8531,1.3418,,1.1088,3.0027,1.5341
2013/7/9,2162.669,3650.696,3335.635,3258.278,2041.58,1.3455,,1.1141,3.0219,1.5394
2013/7/10,2224.065,3751.047,3413.695,3340.839,2101.616,1.3717,,1.1278,3.0961,1.5738
2013/7/11,2326.688,3832.034,3607.897,3425.667,2182.7957,1.4209,,1.1645,3.1754,1.6252
2013/7/12,2275.373,3829.195,3508.892,3398.981,2151.3248,1.396,,1.1452,3.1467,1.6044
2013/7/15,2307.297,3923.381,3534.289,3475.851,2190.7301,1.407,,1.1474,3.2145,1.6243
2013/7/16,2317.848,3966.64,3537.708,3516.261,2208.5729,1.41,,1.1465,3.251,1.633
2013/7/17,2282.836,3908.83,3498.689,3458.008,2175.9152,1.3939,,1.1373,3.2036,1.6135
2013/7/18,2245.328,3911.198,3427.369,3432.539,2155.8061,1.3771,,1.1245,3.1789,1.601
2013/7/19,2190.478,3832.159,3352.253,3345.637,2103.606,1.3591,,1.1182,3.0912,1.5748
2013/7/22,2202.189,3919.302,3351.033,3420.401,2131.6978,1.3648,,1.1186,3.1592,1.5899
2013/7/23,2265.845,4015.217,3431.683,3506.362,2190.0667,1.3913,,1.1323,3.236,1.6231
2013/7/24,2249.151,4057.864,3386.896,3542.883,2190.0674,1.3826,,1.1231,3.2607,1.6211
2013/7/25,2237.683,3963.314,3378.923,3468.64,2162.2546,1.3775,,1.1194,3.1817,1.6053
2013/7/26,2224.008,3968.932,3370.672,3474.904,2155.8962,1.3696,,1.1155,3.1749,1.5992
2013/7/29,2175.97,3901.096,3301.094,3416.683,2112.6081,1.3449,,1.0981,3.1137,1.5706
2013/7/30,2189.388,3882.32,3339.014,3401.561,2115.9308,1.3568,,1.1121,3.1011,1.5776
2013/7/31,2193.021,3900.485,3350.058,3410.875,2123.2617,1.3579,,1.1134,3.1004,1.5811
2013/8/1,2245.364,4026.471,3412.812,3516.495,2178.8536,1.3813,,1.1264,3.1933,1.6141
2013/8/2,2247.263,4038.773,3410.061,3525.73,2183.5817,1.3808,,1.125,3.1999,1.6159
2013/8/5,2278.329,4102.126,3440.269,3577.254,2216.1778,1.3954,,1.1318,3.253,1.6357
2013/8/6,2293.641,4146.665,3445.836,3622.765,2235.3115,1.401,,1.1318,3.3058,1.6455
2013/8/7,2280.623,4094.321,3435.154,3595.385,2216.1088,1.3913,,1.1246,3.2829,1.6316
2013/8/8,2276.782,4113.071,3425.439,3614.424,2218.7346,1.3899,,1.1224,3.3155,1.6324
2013/8/9,2286.01,4113.434,3427.772,3621.84,2226.6079,1.3935,,1.1232,3.3231,1.6364
2013/8/12,2352.794,4146.487,3545.854,3654.852,2274.6617,1.4275,,1.15,3.3439,1.6688
2013/8/13,2359.068,4178.394,3572.755,3675.834,2285.2903,1.4284,,1.1512,3.358,1.6728
2013/8/14,2349.08,4175.447,3560.106,3662.226,2278.0506,1.4228,,1.1476,3.3542,1.667
2013/8/15,2321.576,4131.229,3532.6,3613.292,2252.2685,1.4101,,1.1411,3.2891,1.6507
2013/8/16,2304.144,4032.384,3535.661,3539.759,2219.2088,1.4042,,1.1429,3.2291,1.6335
2013/8/19,2331.43,4129.44,3574.137,3608.474,2254.9359,1.4115,,1.1446,3.2873,1.6499
2013/8/20,2312.465,4141.531,3556.622,3609.42,2244.6768,1.4007,,1.1366,3.2914,1.6394
2013/8/21,2308.589,4164.533,3532.792,3631.502,2250.2605,1.3992,,1.1325,3.308,1.6416
2013/8/22,2303.932,4181.358,3523.041,3641.327,2251.2964,1.3922,,1.1263,3.3129,1.6372
2013/8/23,2286.929,4184.816,3485.042,3669.25,2241.4076,1.3804,,1.1156,3.3399,1.6272
2013/8/26,2335.616,4267.371,3554.428,3746.988,2289.4508,1.3939,,1.1204,3.4209,1.647
2013/8/27,2340.881,4306.38,3556.31,3767.465,2302.0611,1.3932,,1.1181,3.4319,1.6515
2013/8/28,2328.056,4257.972,3535.294,3719.389,2285.4189,1.3856,,1.1126,3.3902,1.6406
2013/8/29,2318.311,4260.793,3528.695,3709.031,2280.5502,1.3727,,1.1025,3.3748,1.6299
2013/8/30,2313.91,4181.742,3546.399,3651.705,2263.4411,1.3584,,1.093,3.3158,1.6099
2013/9/2,2320.344,4218.395,3554.804,3686.142,2275.497,1.3598,,1.0933,3.349,1.6151
2013/9/3,2354.502,4290.872,3614.765,3757.548,2310.8608,1.3767,,1.1065,3.405,1.636
2013/9/4,2350.699,4298.858,3613.644,3776.213,2311.2972,1.376,,1.1081,3.4267,1.638
2013/9/5,2341.735,4324.725,3608.429,3810.498,2310.6908,1.3705,,1.1093,3.4495,1.638
2013/9/6,2357.782,4352.459,3643.548,3839.369,2328.5526,1.3776,,1.116,3.467,1.6493
2013/9/9,2440.609,4369.943,3849.671,3864.444,2381.5211,1.4337,,1.1685,3.4992,1.693
2013/9/10,2474.894,4387.756,3910.887,3868.143,2409.7133,1.4455,,1.1742,3.4973,1.7073
2013/9/11,2482.889,4318.716,3920.388,3799.676,2400.3912,1.4458,,1.1752,3.4297,1.7027
2013/9/12,2507.455,4319.112,3996.291,3805.432,2415.7427,1.4619,,1.1926,3.4377,1.716
2013/9/13,2488.902,4352.949,3932.333,3844.369,2410.4245,1.4491,,1.1773,3.4621,1.7082
2013/9/16,2478.39,4384.987,3905.39,3873.854,2410.5307,1.4444,,1.1719,3.4943,1.7075
2013/9/17,2427.322,4325.056,3817.231,3827.784,2364.7648,1.4165,,1.1489,3.4619,1.676
2013/9/18,2432.51,4366.14,3821.094,3876.249,2378.7262,1.4171,,1.149,3.4987,1.6825
2013/9/23,2472.288,4455.807,3855.102,3953.066,2422.9623,1.4349,,1.157,3.5823,1.7087
2013/9/24,2443.885,4468.381,3764.801,3950.707,2410.3926,1.4205,,1.1418,3.5849,1.7002
