id,date,business_name,pzdm,name,settlement,opening,highest_price,lowest_price,today_close,clearing,ups_downs_1,ups_downs_2,turnover_hand,empty_plate,increase_decrease,turnover_volume,delivery_settlement_price
170129,20140901,F4,IF,IF1503,2384.6,2387.4,2396,2381,2386.6,2389.2,2,4.6,1229,4203,0,881043840,0
968097,20140901,F4,IF,IF,0,2357.2,2362.6,2346.2,2353.6,0,0,0,573963,165376,0,0,0
169699,20140902,F4,IF,IF1409,2352,2352,2395.6,2347.4,2389.4,2386.6,37.4,34.6,801993,133651,0,5.70E+11,0
169700,20140902,F4,IF,IF1410,2358.2,2357,2401.8,2355,2397,2393.6,38.8,35.4,14920,10134,0,10636036800,0
169701,20140902,F4,IF,IF1412,2372,2368.4,2415,2367.2,2411,2406.8,39,34.8,22434,24465,0,16081965660,0
169702,20140902,F4,IF,IF1503,2389.2,2386.6,2431,2384.8,2426.4,2422.6,37.2,33.4,2088,4467,0,1507074120,0
968140,20140902,F4,IF,IF,0,2356,2399.2,2351.6,2393.8,0,0,0,841435,172717,0,0,0
169272,20140903,F4,IF,IF1409,2386.6,2393.6,2424.8,2391,2411.6,2412.6,25,26,814246,133160,0,5.89E+11,0
169273,20140903,F4,IF,IF1410,2393.6,2399,2432,2398.2,2419.2,2420.6,25.6,27,16146,12333,0,11722868640,0
169274,20140903,F4,IF,IF1412,2406.8,2415,2447.4,2412.4,2434.6,2435.4,27.8,28.6,27606,26439,0,20164008960,0
169275,20140903,F4,IF,IF1503,2422.6,2428.4,2463.4,2428.4,2450.6,2452.2,28,29.6,3156,4432,0,2316926340,0
968184,20140903,F4,IF,IF,0,2397.8,2429,2395.6,2416.6,0,0,0,861154,176364,0,0,0
168845,20140904,F4,IF,IF1409,2412.6,2413.8,2446,2411.2,2445.6,2436.8,33,24.2,771774,138771,0,5.61E+11,0
168846,20140904,F4,IF,IF1410,2420.6,2420.6,2452.4,2418.8,2451.4,2443.8,30.8,23.2,18031,13154,0,13156778760,0
168847,20140904,F4,IF,IF1412,2435.4,2436,2470,2434.6,2470,2460,34.6,24.6,23125,27163,0,16989056400,0
168848,20140904,F4,IF,IF1503,2452.2,2451.6,2489.2,2451.6,2488.6,2481,36.4,28.8,4259,5528,0,3153391020,0
968226,20140904,F4,IF,IF,0,2418.8,2451.2,2416,2450.8,0,0,0,817189,184616,0,0,0
